,mesh_cd,geometry,idxmax
117,53393317,"POLYGON ((139.4625 35.5916666666667, 139.475 35.5916666666667, 139.475 35.6, 139.4625 35.6, 139.4625 35.5916666666667))",スリーエ
118,53393320,"POLYGON ((139.375 35.6, 139.3875 35.6, 139.3875 35.6083333333333, 139.375 35.6083333333333, 139.375 35.6))",セブンイ
119,53393324,"POLYGON ((139.425 35.6, 139.4375 35.6, 139.4375 35.6083333333333, 139.425 35.6083333333333, 139.425 35.6))",ファミリ
120,53393327,"POLYGON ((139.4625 35.6, 139.475 35.6, 139.475 35.6083333333333, 139.4625 35.6083333333333, 139.4625 35.6))",セブンイ
121,53393330,"POLYGON ((139.375 35.6083333333333, 139.3875 35.6083333333333, 139.3875 35.6166666666667, 139.375 35.6166666666667, 139.375 35.6083333333333))",セブンイ
122,53393331,"POLYGON ((139.3875 35.6083333333333, 139.4 35.6083333333333, 139.4 35.6166666666667, 139.3875 35.6166666666667, 139.3875 35.6083333333333))",ファミリ
123,53393332,"POLYGON ((139.4 35.6083333333333, 139.4125 35.6083333333333, 139.4125 35.6166666666667, 139.4 35.6166666666667, 139.4 35.6083333333333))",スリーエ
124,53393333,"POLYGON ((139.4125 35.6083333333333, 139.425 35.6083333333333, 139.425 35.6166666666667, 139.4125 35.6166666666667, 139.4125 35.6083333333333))",セブンイ
125,53393334,"POLYGON ((139.425 35.6083333333333, 139.4375 35.6083333333333, 139.4375 35.6166666666667, 139.425 35.6166666666667, 139.425 35.6083333333333))",スリーエ
126,53393335,"POLYGON ((139.4375 35.6083333333333, 139.45 35.6083333333333, 139.45 35.6166666666667, 139.4375 35.6166666666667, 139.4375 35.6083333333333))",デイリー
127,53393339,"POLYGON ((139.4875 35.6083333333333, 139.5 35.6083333333333, 139.5 35.6166666666667, 139.4875 35.6166666666667, 139.4875 35.6083333333333))",セブンイ
128,53393340,"POLYGON ((139.375 35.6166666666667, 139.3875 35.6166666666667, 139.3875 35.625, 139.375 35.625, 139.375 35.6166666666667))",他
129,53393341,"POLYGON ((139.3875 35.6166666666667, 139.4 35.6166666666667, 139.4 35.625, 139.3875 35.625, 139.3875 35.6166666666667))",セブンイ
130,53393342,"POLYGON ((139.4 35.6166666666667, 139.4125 35.6166666666667, 139.4125 35.625, 139.4 35.625, 139.4 35.6166666666667))",ローソン
131,53393343,"POLYGON ((139.4125 35.6166666666667, 139.425 35.6166666666667, 139.425 35.625, 139.4125 35.625, 139.4125 35.6166666666667))",セブンイ
132,53393345,"POLYGON ((139.4375 35.6166666666667, 139.45 35.6166666666667, 139.45 35.625, 139.4375 35.625, 139.4375 35.6166666666667))",ミニスト
133,53393347,"POLYGON ((139.4625 35.6166666666667, 139.475 35.6166666666667, 139.475 35.625, 139.4625 35.625, 139.4625 35.6166666666667))",ファミリ
134,53393350,"POLYGON ((139.375 35.625, 139.3875 35.625, 139.3875 35.6333333333333, 139.375 35.6333333333333, 139.375 35.625))",セブンイ
135,53393351,"POLYGON ((139.3875 35.625, 139.4 35.625, 139.4 35.6333333333333, 139.3875 35.6333333333333, 139.3875 35.625))",セブンイ
136,53393352,"POLYGON ((139.4 35.625, 139.4125 35.625, 139.4125 35.6333333333333, 139.4 35.6333333333333, 139.4 35.625))",エーエム
137,53393353,"POLYGON ((139.4125 35.625, 139.425 35.625, 139.425 35.6333333333333, 139.4125 35.6333333333333, 139.4125 35.625))",サンクス
138,53393354,"POLYGON ((139.425 35.625, 139.4375 35.625, 139.4375 35.6333333333333, 139.425 35.6333333333333, 139.425 35.625))",セブンイ
139,53393355,"POLYGON ((139.4375 35.625, 139.45 35.625, 139.45 35.6333333333333, 139.4375 35.6333333333333, 139.4375 35.625))",セブンイ
140,53393356,"POLYGON ((139.45 35.625, 139.4625 35.625, 139.4625 35.6333333333333, 139.45 35.6333333333333, 139.45 35.625))",セブンイ
141,53393357,"POLYGON ((139.4625 35.625, 139.475 35.625, 139.475 35.6333333333333, 139.4625 35.6333333333333, 139.4625 35.625))",ファミリ
142,53393358,"POLYGON ((139.475 35.625, 139.4875 35.625, 139.4875 35.6333333333333, 139.475 35.6333333333333, 139.475 35.625))",ファミリ
143,53393359,"POLYGON ((139.4875 35.625, 139.5 35.625, 139.5 35.6333333333333, 139.4875 35.6333333333333, 139.4875 35.625))",セブンイ
144,53393362,"POLYGON ((139.4 35.6333333333333, 139.4125 35.6333333333333, 139.4125 35.6416666666667, 139.4 35.6416666666667, 139.4 35.6333333333333))",サークル
